Date;Import Country (Source);Exporter;Importer;HS Code;Country of Origin;Country of Destination;Quantity;Qty Unit;Weight;Wgt Unit;Value (US$);Transport Mode;Products
2025-02-28 00:00:00;USA;SUMEC MACHINERY ELECTRIC CO LTD;FIRMAN POWER EQUIPMENT INCORPORATED;851390;CHINA;UNITED STATES;192;PKG;19680;KG;515637,13;MARITIME;GENERATOR
2025-02-28 00:00:00;USA;GUANGZHOU HUIKANG ELECTRONIC TECHNO LOGY CO LTD;CHAI VISION IMPORT LLC;851390;CHINA;UNITED STATES;215;CTN;2506;KG;65659,89;MARITIME;SAUNA
2025-02-27 00:00:00;USA;XUZHOU HEALTHLAND SAUNA EQUIPMENT C WEST OF XUPEI;CHAI VISION IMPORT NJ INC;851390;CHINA;UNITED STATES;57;CTN;3724;KG;97572,8;MARITIME;SAUNA
2025-02-26 00:00:00;USA;ZHEJIANG CAFTP SERVICE CO LTD;AYESPRO LLC;851390;CHINA;UNITED STATES;1049;CTN;9110;KG;238691,78;MARITIME;LIGHTS
2025-02-26 00:00:00;USA;ZHEJIANG TIANZHIXIN SPORTS EQUIPMEN T CO LTD;CHAI VISION IMPORT LLC;851390;CHINA;UNITED STATES;400;CTN;3200;KG;83843,44;MARITIME;SAUNA
2025-02-25 00:00:00;USA;XUZHOU HEALTHLAND SAUNA EQUIPMENT C WEST OF XUPEI;CHAI VISION IMPORT NJ INC;851390;CHINA;UNITED STATES;72;CTN;8024;KG;210237,41;MARITIME;SAUNA
2025-02-25 00:00:00;USA;XUZHOU HEALTHLAND SAUNA EQUIPMENT C WEST OF XUPEI;CHAI VISION IMPORT NJ INC;851390;CHINA;UNITED STATES;72;CTN;8024;KG;210237,41;MARITIME;SAUNA
2025-02-25 00:00:00;USA;UNKNOWN;UNKNOWN;851390;CHINA;UNITED STATES;1;PKG;458;KG;12000,09;MARITIME;SAWMILL
2025-02-24 00:00:00;USA;SUMEC MACHINERY ELECTRIC COMPANY;FIRMAN POWER EQUIPMENT INCORPORATED;851390;CHINA;UNITED STATES;188;CTN;19646;KG;514746,29;MARITIME;GENERATOR
2025-02-24 00:00:00;USA;SUMEC MACHINERY ELECTRIC COMPANY;FIRMAN POWER EQUIPMENT INCORPORATED;851390;CHINA;UNITED STATES;188;CTN;19646;KG;514746,29;MARITIME;GENERATOR
2025-02-24 00:00:00;USA;UNKNOWN;UNKNOWN;851390;CHINA;UNITED STATES;5902;PCS;7608;KG;199337,77;MARITIME;ELECTRIC LAMP
2025-02-24 00:00:00;USA;SUMEC MACHINERY ELECTRIC COMPANY;FIRMAN POWER EQUIPMENT INCORPORATED;851390;CHINA;UNITED STATES;188;CTN;19646;KG;514746,29;MARITIME;GENERATOR
2025-02-24 00:00:00;USA;SUMEC MACHINERY ELECTRIC COMPANY;FIRMAN POWER EQUIPMENT INCORPORATED;851390;CHINA;UNITED STATES;188;CTN;19646;KG;514746,29;MARITIME;GENERATOR
2025-02-24 00:00:00;USA;XIAMEN WISETECH LIGHTING CO LTD;WURTH CANADA LTD;851390;CHINA;UNITED STATES;20;CTN;77;KG;2017,48;MARITIME;LAMP
2025-02-24 00:00:00;USA;SUMEC MACHINERY ELECTRIC CO LTD;FIRMAN POWER EQUIPMENT INCORPORATED;851390;CHINA;UNITED STATES;2440;PKG;131068;KG;3434122,31;MARITIME;GENERATOR
2025-02-22 00:00:00;USA;HESTIA ELECTRIC HUIZHOU CO LTD;IKEA SUPPLY AG;851390;CHINA;UNITED STATES;456;PKG;388;KG;10166,02;MARITIME;LAMP
2025-02-22 00:00:00;USA;GUANGZHOU HUIKANG ELECTRONIC TECHNO LOGY CO LTD;CHAI VISION IMPORT LLC;851390;CHINA;UNITED STATES;95;CTN;1710;KG;44803,84;MARITIME;SAUNA
2025-02-22 00:00:00;USA;FOSHAN FUMEI HEALTH INDUSTRIAL CO L LTD;CHAI VISION IMPORT LLC;851390;CHINA;UNITED STATES;150;CTN;975;KG;25546,05;MARITIME;SAUNA
2025-02-22 00:00:00;USA;SUMEC MACHINERY ELECTRIC COMPANY;FIRMAN POWER EQUIPMENT INCORPORATED;851390;CHINA;UNITED STATES;376;CTN;39292;KG;1029492,58;MARITIME;GENERATOR
2025-02-22 00:00:00;USA;UNKNOWN;UNKNOWN;851390;CHINA;UNITED STATES;600;CTN;7050;KG;184717,57;MARITIME;SAUNA
2025-02-22 00:00:00;USA;UNKNOWN;UNKNOWN;851390;CHINA;UNITED STATES;3555;CTN;75054;KG;1501080;MARITIME;CAR
2025-02-22 00:00:00;USA;LONGWIN POWER TECHNOLOGY COMPANY;GENERAC POWER SYSTEMS INC;851390;VIETNAM;UNITED STATES;768;PKG;67292;KG;1522538,72;MARITIME;GENERATOR
2025-02-22 00:00:00;USA;UNKNOWN;UNKNOWN;851390;CHINA;UNITED STATES;384;CTN;38736;KG;774720;MARITIME;GARAGE
2025-02-22 00:00:00;USA;LONGWIN POWER TECHNOLOGY COMPANY;GENERAC POWER SYSTEMS INC;851390;VIETNAM;UNITED STATES;768;PKG;67292;KG;1522538,72;MARITIME;GENERATOR
2025-02-22 00:00:00;USA;UNKNOWN;UNKNOWN;851390;CHINA;UNITED STATES;540;CTN;18360;KG;367200;MARITIME;CAR
2025-02-21 00:00:00;USA;UNKNOWN;UNKNOWN;851390;CHINA;UNITED STATES;300;CTN;2042;KG;53502,59;MARITIME;ELECTRIC LAMP
2025-02-21 00:00:00;USA;YANTAI RIMA MACHINERY CO LTD;DENNIS MINTER LLC;851390;CHINA;UNITED STATES;1;PKG;197;KG;5161,61;MARITIME;SAWMILL
2025-02-21 00:00:00;USA;LONGWIN POWER TECHNOLOGY COMPANY;GENERAC POWER SYSTEMS INC;851390;VIETNAM;UNITED STATES;187;PCS;20439;KG;462449,76;MARITIME;GENERATOR
2025-02-19 00:00:00;USA;SUMEC MACHINERY ELECTRIC CO LTD;FIRMAN POWER EQUIPMENT INCORPORATED;851390;CHINA;UNITED STATES;940;CTN;116730;KG;3058451,32;MARITIME;GENERATOR
2025-02-19 00:00:00;USA;SUMEC MACHINERY ELECTRIC COMPANY;FIRMAN POWER EQUIPMENT INCORPORATED;851390;CHINA;UNITED STATES;188;CTN;19646;KG;514746,29;MARITIME;GENERATOR
