TT,Danh_Gia,Chat_Luong_Tai_Xe,Thoi_Gian_vs_Du_Kien
0,satisfied,6,-11.5625
1,satisfied,1,-12.34375
2,satisfied,1,-11.5625
3,satisfied,6,-11.5625
4,satisfied,3,-11.5625
5,satisfied,1,-11.5625
6,satisfied,6,-11.875
7,satisfied,1,-11.5625
8,satisfied,3,-11.5625
9,satisfied,1,-12.1875
10,satisfied,3,-11.40625
11,satisfied,1,-11.5625
12,satisfied,1,-11.5625
13,satisfied,1,-11.5625
14,satisfied,1,-10.3125
15,satisfied,1,-11.5625
16,satisfied,1,-12.34375
17,satisfied,2,-11.5625
18,satisfied,1,-11.5625
19,satisfied,1,-11.5625
20,satisfied,1,-11.5625
21,satisfied,1,-11.5625
22,satisfied,1,-11.5625
23,satisfied,3,-11.5625
24,satisfied,1,-11.5625
25,satisfied,1,-11.5625
26,satisfied,1,-11.5625
27,satisfied,2,-8.28125
28,satisfied,1,-11.5625
29,satisfied,4,-11.5625
30,satisfied,1,-13.90625
31,satisfied,1,-12.1875
32,satisfied,1,-11.5625
33,satisfied,1,-11.5625
34,satisfied,1,-11.5625
35,satisfied,3,-11.25
36,satisfied,1,-11.5625
37,satisfied,1,-11.5625
38,satisfied,1,-11.5625
39,satisfied,1,-13.59375
40,satisfied,1,-11.5625
41,satisfied,5,-9.53125
42,satisfied,1,-13.90625
43,satisfied,1,-11.5625
44,satisfied,3,-12.8125
45,satisfied,1,-11.5625
46,satisfied,1,-13.28125
47,satisfied,1,-11.5625
48,satisfied,1,-13.125
49,satisfied,1,-11.5625
50,satisfied,1,-11.5625
51,satisfied,6,-11.5625
52,satisfied,1,-11.5625
53,satisfied,1,-11.5625
54,satisfied,1,-11.5625
55,satisfied,1,-11.5625
56,satisfied,1,-11.5625
57,satisfied,6,-11.5625
58,satisfied,1,-13.125
59,satisfied,1,-11.5625
60,satisfied,1,-13.125
61,satisfied,1,-11.5625
62,satisfied,1,-11.5625
63,satisfied,1,-11.5625
64,satisfied,6,-11.5625
65,satisfied,1,-12.34375
66,satisfied,1,-11.5625
67,satisfied,1,-10.46875
68,satisfied,1,-11.5625
69,satisfied,2,-12.96875
70,satisfied,1,-11.71875
71,satisfied,1,-11.5625
72,satisfied,1,-11.5625
73,satisfied,1,-11.5625
74,satisfied,1,-11.5625
75,satisfied,1,-11.40625
76,satisfied,1,-11.71875
77,satisfied,1,-11.5625
78,satisfied,1,-12.65625
79,satisfied,1,-7.5
80,satisfied,7,-11.5625
81,satisfied,3,-6.25
82,satisfied,3,-11.5625
83,satisfied,3,-11.71875
84,satisfied,7,-11.5625
85,satisfied,3,-11.5625
86,satisfied,1,-11.09375
87,satisfied,1,-11.5625
88,satisfied,1,-10.0
89,satisfied,1,-11.5625
90,satisfied,5,-11.5625
91,satisfied,1,-11.5625
92,satisfied,1,-12.34375
93,satisfied,1,-11.25
94,satisfied,1,-11.5625
95,satisfied,2,-11.5625
96,satisfied,1,-11.5625
97,satisfied,1,-11.5625
98,satisfied,1,-12.34375
99,satisfied,1,-11.5625
100,satisfied,1,-10.625
101,satisfied,1,-12.5
102,satisfied,1,-11.5625
103,satisfied,1,-11.5625
104,satisfied,6,-11.5625
105,satisfied,3,-11.5625
