id,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
PE001,Adelie,Torgersen,39.1,18.7,181,3750,male,2007
PE002,Adelie,Torgersen,39.5,17.4,186,3800,female,2007
PE003,Adelie,Torgersen,40.3,18,195,3250,female,2007
PE004,Adelie,Torgersen,,,,,,2007
PE005,Adelie,Torgersen,36.7,19.3,193,3450,female,2007
PE006,Adelie,Torgersen,39.3,20.6,190,3650,male,2007
PE007,Adelie,Torgersen,38.9,17.8,181,3625,female,2007
PE008,Adelie,Torgersen,39.2,19.6,195,4675,male,2007
PE009,Adelie,Torgersen,34.1,18.1,193,3475,,2007
PE010,Adelie,Torgersen,42,20.2,190,4250,,2007
PE011,Adelie,Torgersen,37.8,17.1,186,3300,,2007
PE012,Adelie,Torgersen,37.8,17.3,180,3700,,2007
PE013,Adelie,Torgersen,41.1,17.6,182,3200,female,2007
PE014,Adelie,Torgersen,38.6,21.2,191,3800,male,2007
PE015,Adelie,Torgersen,34.6,21.1,198,4400,male,2007
PE016,Adelie,Torgersen,36.6,17.8,185,3700,female,2007
PE017,Adelie,Torgersen,38.7,19,195,3450,female,2007
PE018,Adelie,Torgersen,42.5,20.7,197,4500,male,2007
PE019,Adelie,Torgersen,34.4,18.4,184,3325,female,2007
PE020,Adelie,Torgersen,46,21.5,194,4200,male,2007
PE021,Adelie,Biscoe,37.8,18.3,174,3400,female,2007
PE022,Adelie,Biscoe,37.7,18.7,180,3600,male,2007
PE023,Adelie,Biscoe,35.9,19.2,189,3800,female,2007
PE024,Adelie,Biscoe,38.2,18.1,185,3950,male,2007
PE025,Adelie,Biscoe,38.8,17.2,180,3800,male,2007
PE026,Adelie,Biscoe,35.3,18.9,187,3800,female,2007
PE027,Adelie,Biscoe,40.6,18.6,183,3550,male,2007
PE028,Adelie,Biscoe,40.5,17.9,187,3200,female,2007
PE029,Adelie,Biscoe,37.9,18.6,172,3150,female,2007
PE030,Adelie,Biscoe,40.5,18.9,180,3950,male,2007
PE031,Adelie,Dream,39.5,16.7,178,3250,female,2007
PE032,Adelie,Dream,37.2,18.1,178,3900,male,2007
PE033,Adelie,Dream,39.5,17.8,188,3300,female,2007
PE034,Adelie,Dream,40.9,18.9,184,3900,male,2007
PE035,Adelie,Dream,36.4,17,195,3325,female,2007
PE036,Adelie,Dream,39.2,21.1,196,4150,male,2007
PE037,Adelie,Dream,38.8,20,190,3950,male,2007
PE038,Adelie,Dream,42.2,18.5,180,3550,female,2007
PE039,Adelie,Dream,37.6,19.3,181,3300,female,2007
PE040,Adelie,Dream,39.8,19.1,184,4650,male,2007
PE041,Adelie,Dream,36.5,18,182,3150,female,2007
PE042,Adelie,Dream,40.8,18.4,195,3900,male,2007
PE043,Adelie,Dream,36,18.5,186,3100,female,2007
PE044,Adelie,Dream,44.1,19.7,196,4400,male,2007
PE045,Adelie,Dream,37,16.9,185,3000,female,2007
PE046,Adelie,Dream,39.6,18.8,190,4600,male,2007
PE047,Adelie,Dream,41.1,19,182,3425,male,2007
PE048,Adelie,Dream,37.5,18.9,179,2975,,2007
PE049,Adelie,Dream,36,17.9,190,3450,female,2007
PE050,Adelie,Dream,42.3,21.2,191,4150,male,2007
PE051,Adelie,Biscoe,39.6,17.7,186,3500,female,2008
PE052,Adelie,Biscoe,40.1,18.9,188,4300,male,2008
PE053,Adelie,Biscoe,35,17.9,190,3450,female,2008
PE054,Adelie,Biscoe,42,19.5,200,4050,male,2008
PE055,Adelie,Biscoe,34.5,18.1,187,2900,female,2008
PE056,Adelie,Biscoe,41.4,18.6,191,3700,male,2008
PE057,Adelie,Biscoe,39,17.5,186,3550,female,2008
PE058,Adelie,Biscoe,40.6,18.8,193,3800,male,2008
PE059,Adelie,Biscoe,36.5,16.6,181,2850,female,2008
PE060,Adelie,Biscoe,37.6,19.1,194,3750,male,2008
PE061,Adelie,Biscoe,35.7,16.9,185,3150,female,2008
PE062,Adelie,Biscoe,41.3,21.1,195,4400,male,2008
PE063,Adelie,Biscoe,37.6,17,185,3600,female,2008
PE064,Adelie,Biscoe,41.1,18.2,192,4050,male,2008
PE065,Adelie,Biscoe,36.4,17.1,184,2850,female,2008
PE066,Adelie,Biscoe,41.6,18,192,3950,male,2008
PE067,Adelie,Biscoe,35.5,16.2,195,3350,female,2008
PE068,Adelie,Biscoe,41.1,19.1,188,4100,male,2008
PE069,Adelie,Torgersen,35.9,16.6,190,3050,female,2008
PE070,Adelie,Torgersen,41.8,19.4,198,4450,male,2008
PE071,Adelie,Torgersen,33.5,19,190,3600,female,2008
PE072,Adelie,Torgersen,39.7,18.4,190,3900,male,2008
PE073,Adelie,Torgersen,39.6,17.2,196,3550,female,2008
PE074,Adelie,Torgersen,45.8,18.9,197,4150,male,2008
PE075,Adelie,Torgersen,35.5,17.5,190,3700,female,2008
PE076,Adelie,Torgersen,42.8,18.5,195,4250,male,2008
PE077,Adelie,Torgersen,40.9,16.8,191,3700,female,2008
PE078,Adelie,Torgersen,37.2,19.4,184,3900,male,2008
PE079,Adelie,Torgersen,36.2,16.1,187,3550,female,2008
PE080,Adelie,Torgersen,42.1,19.1,195,4000,male,2008
PE081,Adelie,Torgersen,34.6,17.2,189,3200,female,2008
PE082,Adelie,Torgersen,42.9,17.6,196,4700,male,2008
PE083,Adelie,Torgersen,36.7,18.8,187,3800,female,2008
PE084,Adelie,Torgersen,35.1,19.4,193,4200,male,2008
PE085,Adelie,Dream,37.3,17.8,191,3350,female,2008
PE086,Adelie,Dream,41.3,20.3,194,3550,male,2008
PE087,Adelie,Dream,36.3,19.5,190,3800,male,2008
PE088,Adelie,Dream,36.9,18.6,189,3500,female,2008
PE089,Adelie,Dream,38.3,19.2,189,3950,male,2008
PE090,Adelie,Dream,38.9,18.8,190,3600,female,2008
PE091,Adelie,Dream,35.7,18,202,3550,female,2008
PE092,Adelie,Dream,41.1,18.1,205,4300,male,2008
PE093,Adelie,Dream,34,17.1,185,3400,female,2008
PE094,Adelie,Dream,39.6,18.1,186,4450,male,2008
PE095,Adelie,Dream,36.2,17.3,187,3300,female,2008
PE096,Adelie,Dream,40.8,18.9,208,4300,male,2008
PE097,Adelie,Dream,38.1,18.6,190,3700,female,2008
PE098,Adelie,Dream,40.3,18.5,196,4350,male,2008
PE099,Adelie,Dream,33.1,16.1,178,2900,female,2008
PE100,Adelie,Dream,43.2,18.5,192,4100,male,2008
PE101,Adelie,Biscoe,35,17.9,192,3725,female,2009
PE102,Adelie,Biscoe,41,20,203,4725,male,2009
PE103,Adelie,Biscoe,37.7,16,183,3075,female,2009
PE104,Adelie,Biscoe,37.8,20,190,4250,male,2009
PE105,Adelie,Biscoe,37.9,18.6,193,2925,female,2009
PE106,Adelie,Biscoe,39.7,18.9,184,3550,male,2009
PE107,Adelie,Biscoe,38.6,17.2,199,3750,female,2009
PE108,Adelie,Biscoe,38.2,20,190,3900,male,2009
PE109,Adelie,Biscoe,38.1,17,181,3175,female,2009
PE110,Adelie,Biscoe,43.2,19,197,4775,male,2009
PE111,Adelie,Biscoe,38.1,16.5,198,3825,female,2009
PE112,Adelie,Biscoe,45.6,20.3,191,4600,male,2009
PE113,Adelie,Biscoe,39.7,17.7,193,3200,female,2009
PE114,Adelie,Biscoe,42.2,19.5,197,4275,male,2009
PE115,Adelie,Biscoe,39.6,20.7,191,3900,female,2009
PE116,Adelie,Biscoe,42.7,18.3,196,4075,male,2009
PE117,Adelie,Torgersen,38.6,17,188,2900,female,2009
PE118,Adelie,Torgersen,37.3,20.5,199,3775,male,2009
PE119,Adelie,Torgersen,35.7,17,189,3350,female,2009
PE120,Adelie,Torgersen,41.1,18.6,189,3325,male,2009
PE121,Adelie,Torgersen,36.2,17.2,187,3150,female,2009
PE122,Adelie,Torgersen,37.7,19.8,198,3500,male,2009
PE123,Adelie,Torgersen,40.2,17,176,3450,female,2009
PE124,Adelie,Torgersen,41.4,18.5,202,3875,male,2009
PE125,Adelie,Torgersen,35.2,15.9,186,3050,female,2009
PE126,Adelie,Torgersen,40.6,19,199,4000,male,2009
PE127,Adelie,Torgersen,38.8,17.6,191,3275,female,2009
PE128,Adelie,Torgersen,41.5,18.3,195,4300,male,2009
PE129,Adelie,Torgersen,39,17.1,191,3050,female,2009
PE130,Adelie,Torgersen,44.1,18,210,4000,male,2009
PE131,Adelie,Torgersen,38.5,17.9,190,3325,female,2009
PE132,Adelie,Torgersen,43.1,19.2,197,3500,male,2009
PE133,Adelie,Dream,36.8,18.5,193,3500,female,2009
PE134,Adelie,Dream,37.5,18.5,199,4475,male,2009
PE135,Adelie,Dream,38.1,17.6,187,3425,female,2009
PE136,Adelie,Dream,41.1,17.5,190,3900,male,2009
PE137,Adelie,Dream,35.6,17.5,191,3175,female,2009
PE138,Adelie,Dream,40.2,20.1,200,3975,male,2009
PE139,Adelie,Dream,37,16.5,185,3400,female,2009
PE140,Adelie,Dream,39.7,17.9,193,4250,male,2009
PE141,Adelie,Dream,40.2,17.1,193,3400,female,2009
PE142,Adelie,Dream,40.6,17.2,187,3475,male,2009
PE143,Adelie,Dream,32.1,15.5,188,3050,female,2009
PE144,Adelie,Dream,40.7,17,190,3725,male,2009
PE145,Adelie,Dream,37.3,16.8,192,3000,female,2009
PE146,Adelie,Dream,39,18.7,185,3650,male,2009
PE147,Adelie,Dream,39.2,18.6,190,4250,male,2009
PE148,Adelie,Dream,36.6,18.4,184,3475,female,2009
PE149,Adelie,Dream,36,17.8,195,3450,female,2009
PE150,Adelie,Dream,37.8,18.1,193,3750,male,2009
PE151,Adelie,Dream,36,17.1,187,3700,female,2009
PE152,Adelie,Dream,41.5,18.5,201,4000,male,2009
PE153,Gentoo,Biscoe,46.1,13.2,211,4500,female,2007
PE154,Gentoo,Biscoe,50,16.3,230,5700,male,2007
PE155,Gentoo,Biscoe,48.7,14.1,210,4450,female,2007
PE156,Gentoo,Biscoe,50,15.2,218,5700,male,2007
PE157,Gentoo,Biscoe,47.6,14.5,215,5400,male,2007
PE158,Gentoo,Biscoe,46.5,13.5,210,4550,female,2007
PE159,Gentoo,Biscoe,45.4,14.6,211,4800,female,2007
PE160,Gentoo,Biscoe,46.7,15.3,219,5200,male,2007
PE161,Gentoo,Biscoe,43.3,13.4,209,4400,female,2007
PE162,Gentoo,Biscoe,46.8,15.4,215,5150,male,2007
PE163,Gentoo,Biscoe,40.9,13.7,214,4650,female,2007
PE164,Gentoo,Biscoe,49,16.1,216,5550,male,2007
PE165,Gentoo,Biscoe,45.5,13.7,214,4650,female,2007
PE166,Gentoo,Biscoe,48.4,14.6,213,5850,male,2007
PE167,Gentoo,Biscoe,45.8,14.6,210,4200,female,2007
PE168,Gentoo,Biscoe,49.3,15.7,217,5850,male,2007
PE169,Gentoo,Biscoe,42,13.5,210,4150,female,2007
PE170,Gentoo,Biscoe,49.2,15.2,221,6300,male,2007
PE171,Gentoo,Biscoe,46.2,14.5,209,4800,female,2007
PE172,Gentoo,Biscoe,48.7,15.1,222,5350,male,2007
PE173,Gentoo,Biscoe,50.2,14.3,218,5700,male,2007
PE174,Gentoo,Biscoe,45.1,14.5,215,5000,female,2007
PE175,Gentoo,Biscoe,46.5,14.5,213,4400,female,2007
PE176,Gentoo,Biscoe,46.3,15.8,215,5050,male,2007
PE177,Gentoo,Biscoe,42.9,13.1,215,5000,female,2007
PE178,Gentoo,Biscoe,46.1,15.1,215,5100,male,2007
PE179,Gentoo,Biscoe,44.5,14.3,216,4100,,2007
PE180,Gentoo,Biscoe,47.8,15,215,5650,male,2007
PE181,Gentoo,Biscoe,48.2,14.3,210,4600,female,2007
PE182,Gentoo,Biscoe,50,15.3,220,5550,male,2007
PE183,Gentoo,Biscoe,47.3,15.3,222,5250,male,2007
PE184,Gentoo,Biscoe,42.8,14.2,209,4700,female,2007
PE185,Gentoo,Biscoe,45.1,14.5,207,5050,female,2007
PE186,Gentoo,Biscoe,59.6,17,230,6050,male,2007
PE187,Gentoo,Biscoe,49.1,14.8,220,5150,female,2008
PE188,Gentoo,Biscoe,48.4,16.3,220,5400,male,2008
PE189,Gentoo,Biscoe,42.6,13.7,213,4950,female,2008
PE190,Gentoo,Biscoe,44.4,17.3,219,5250,male,2008
PE191,Gentoo,Biscoe,44,13.6,208,4350,female,2008
PE192,Gentoo,Biscoe,48.7,15.7,208,5350,male,2008
PE193,Gentoo,Biscoe,42.7,13.7,208,3950,female,2008
PE194,Gentoo,Biscoe,49.6,16,225,5700,male,2008
PE195,Gentoo,Biscoe,45.3,13.7,210,4300,female,2008
PE196,Gentoo,Biscoe,49.6,15,216,4750,male,2008
PE197,Gentoo,Biscoe,50.5,15.9,222,5550,male,2008
PE198,Gentoo,Biscoe,43.6,13.9,217,4900,female,2008
PE199,Gentoo,Biscoe,45.5,13.9,210,4200,female,2008
PE200,Gentoo,Biscoe,50.5,15.9,225,5400,male,2008
PE201,Gentoo,Biscoe,44.9,13.3,213,5100,female,2008
PE202,Gentoo,Biscoe,45.2,15.8,215,5300,male,2008
PE203,Gentoo,Biscoe,46.6,14.2,210,4850,female,2008
PE204,Gentoo,Biscoe,48.5,14.1,220,5300,male,2008
PE205,Gentoo,Biscoe,45.1,14.4,210,4400,female,2008
PE206,Gentoo,Biscoe,50.1,15,225,5000,male,2008
PE207,Gentoo,Biscoe,46.5,14.4,217,4900,female,2008
PE208,Gentoo,Biscoe,45,15.4,220,5050,male,2008
PE209,Gentoo,Biscoe,43.8,13.9,208,4300,female,2008
PE210,Gentoo,Biscoe,45.5,15,220,5000,male,2008
PE211,Gentoo,Biscoe,43.2,14.5,208,4450,female,2008
PE212,Gentoo,Biscoe,50.4,15.3,224,5550,male,2008
PE213,Gentoo,Biscoe,45.3,13.8,208,4200,female,2008
PE214,Gentoo,Biscoe,46.2,14.9,221,5300,male,2008
PE215,Gentoo,Biscoe,45.7,13.9,214,4400,female,2008
